category,asset,number_of_events,mean_abnormal_return_1d,median_abnormal_return_1d,mean_absolute_abnormal_return_1d,standard_deviation_1d,mean_abnormal_return_3d,mean_abnormal_return_5d,positive_reaction_rate,direction_accuracy,mean_volatility_change
Government intervention,Shell,2,0.012672584052781766,0.012672584052781766,0.012672584052781766,0.0015904366134585652,-0.0019808268892086978,0.00446483447332463,1.0,0.0,-0.31456739855728166
Government intervention,BP,2,0.011229714809502578,0.011229714809502578,0.011229714809502578,0.0012761223005294453,0.006270043533110892,0.01547141937007629,1.0,0.0,-0.3374859778458217
Government intervention,Natural Gas,2,0.00016775327395318618,0.00016775327395318618,0.01082298673787846,0.015306014630091859,-0.002908518991189435,0.06155589402107525,0.5,0.5,0.11744923121229478
Government intervention,Chevron,2,0.009900969090061051,0.009900969090061051,0.009900969090061051,0.005938073952876767,0.00350013051459086,0.024997947444986568,1.0,0.0,-0.26394354876826454
Government intervention,Energy ETF,2,0.007304900653832547,0.007304900653832547,0.007304900653832547,0.00286826375451134,0.0007551548110878437,0.016049837942321787,1.0,0.0,-0.23569425545523567
Government intervention,ExxonMobil,2,0.006658665081809956,0.006658665081809956,0.006658665081809956,0.004349539517770085,0.000989196215944954,0.015863780966336838,1.0,0.0,-0.30465807371506765
Government intervention,Airlines ETF,2,-0.0018269875119760193,-0.0018269875119760193,0.002385773375873035,0.0033739930649082897,-0.00959429579967086,-0.024941384010530976,0.5,0.5,-0.3304501360189173
Inventory announcement,Natural Gas,5,0.0009404906070651587,-0.010655233463925273,0.046600713872696244,0.05735451351595626,0.0022694658874081288,0.01272982188304439,0.4,0.2,-0.05376619859671798
Inventory announcement,Brent Crude,5,-0.008780221815272337,-0.009887101354501104,0.0205426941212405,0.02696099701260303,-0.016554022431137416,-0.0004591718927713595,0.4,0.6,-0.06109736554843237
Inventory announcement,WTI Crude,5,-0.00612241696244602,-0.007117398855091328,0.020296914986244752,0.02490159842638867,-0.020819457398158693,-0.0012223916220704067,0.4,0.6,-0.07175626226767734
